Naam,Adres,Postcode,Plaats,Opgericht,Klanten,Domeinen,Servers,Medewerkers (fte),NPS (%),Resellers toegestaan,Geschatte omzet (*miljoen euro),Diensten
Versio BV,Francois Haversmidtwei 2,8914 BC,Leeuwarden,15-10-2008,120000,600000,20000,10.0,82,1,2.0,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Dedicated server, Virtual Private Server, SSL-Certificaat, E-mail hosting."
Antagonist,Neptunusstraat 27 B,7521 WC,Enschede,24-06-2004,90000,100000,Geen opgave,15.0,98,1,3.0,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Virtual Private Server, SSL-Certificaat."
SoHosted BV,Dopheide 14b,9202PB,Drachten,13-12-2003,27900,55500,650,19.0,98,,3.8,"Domeinnaam, Webhosting, Colocatie, Dedicated server, Virtual Private Server, Managed server."
Skyberate Internet Services BV,Julianaplein 44,7003DW,Doetinchem,01-03-2003,Geen opgave,Geen opgave,Geen opgave,20.0,96,1,4.0,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Streaming media, Colocatie, Dedicated server, Virtual Private Server, SSL-Certificaat, Online backup, Managed server, E-mail hosting."
PCextreme,Edisonweg 51D,4382 NV,Vlissingen,01-01-2004,55000,80000,500,20.0,64,1,4.0,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Streaming media, Colocatie, Dedicated server, Virtual Private Server, SSL-Certificaat, Online backup, Managed server, E-mail hosting."
iXL hosting B.V.,Galvanistraat 117,6716 AE,Ede,29-05-2008,6000,20000,800,8.0,96,1,1.6,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Colocatie, Dedicated server, Virtual Private Server, Gameserver, SSL-Certificaat, VoIP-telefonie, Online backup, Managed server, E-mail hosting."
Web://Xtra,Westervoortsedijk 73 CB,6827AV,Arnhem,05-10-2004,10000,25000,125,6.0,18,1,1.2,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Streaming media, Colocatie, Dedicated server, Virtual Private Server, Gameserver, SSL-Certificaat, Breedband internet, VoIP-telefonie, Netwerk connectiviteit, Online backup, Usenet toegang, Managed server, E-mail hosting."
Correcthosting.nl,binnenpad 22,8355 BR,Giethoorn,01-11-1996,2100,25000,100,6.0,98,1,1.2,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Virtual Private Server, SSL-Certificaat, VoIP-telefonie, Online backup, Managed server."
LeaseWeb,Luttenbergweg 8,1101EC,Amsterdam,02-01-1997,15000,190000,60000,200.0,42,,40.0,
Tilaa BV,Westdam 3J,3441GA,Woerden,16-04-2009,Geen opgave,Geen opgave,Geen opgave,11.0,82,,2.2,"Virtual Private Server, Netwerk connectiviteit, Managed server."
CJ2 Hosting BV,Zernikepark 1,9747 AP,Groningen,12-04-2002,Geen opgave,Geen opgave,Geen opgave,7.0,100,,1.4,
Hosted,Mallemoolen 23,6901GS,Zevenaar,18-08-2006,2500,10000,500,10.0,70,1,2.0,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Streaming media, Colocatie, Dedicated server, Virtual Private Server, SSL-Certificaat, Breedband internet, VoIP-telefonie."
Robohost,Postbus 29,1270AA,Huizen,01-02-2013,Geen opgave,Geen opgave,Geen opgave,10.0,100,,2.0,
VPShosting.nl,Mallemoolen 23,6901GS,Zevenaar,18-08-2006,4200,Geen opgave,500,9.0,86,1,1.8,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Colocatie, Dedicated server, Virtual Private Server, SSL-Certificaat, Breedband internet, VoIP-telefonie, Netwerk connectiviteit, Online backup, Managed server, E-mail hosting."
Danteck,De Haal 52A,1511AS,Oostzaan,01-04-2014,100,400,10,40.0,100,,8.0,
Cloudhosting.nl,Ringbaan Zuid 10,6905DB,Zevenaar,18-08-2006,2500,10000,250,9.0,100,1,1.8,"Domeinnaam, Domein reselling, Streaming media, Dedicated server, Virtual Private Server, SSL-Certificaat, Netwerk connectiviteit, Online backup, Managed server."
i24 ICT B.V.,Lichtenauerlaan 102-120,3062 ME,Rotterdam - Brainpark,01-01-2003,5000,5000,100,5.0,-100,1,1.0,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Streaming media, Colocatie, Dedicated server, Virtual Private Server, Gameserver, SSL-Certificaat, Breedband internet, VoIP-telefonie, Netwerk connectiviteit, Online backup, Usenet toegang, Managed server, E-mail hosting."
Protagonist,Westblaak 142,3012 KM,Rotterdam,00-00-2000,20000,50000,50,15.0,94,1,3.0,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Dedicated server, Virtual Private Server, SSL-Certificaat, Online backup, Managed server, E-mail hosting."
Neostrada,Reaalhof 64,8232VS,LELYSTAD,23-06-2003,50000,150000,1000,15.0,94,1,3.0,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Streaming media, Colocatie, Dedicated server, Virtual Private Server, Gameserver, SSL-Certificaat, Breedband internet, VoIP-telefonie, Netwerk connectiviteit, Online backup, Managed server."
Wned.nl,Postbus 89,9300AB,Roden,13-08-2003,45000,90000,310,8.0,94,1,1.6,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, SSL-Certificaat, E-mail hosting."
Oxilion,M.H. Tromplaan 52,7513 AB,Enschede,06-04-2000,10000,35000,2000,18.0,98,1,3.6,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Streaming media, Colocatie, Dedicated server, Virtual Private Server, SSL-Certificaat, Breedband internet, Netwerk connectiviteit, Online backup, Managed server, E-mail hosting."
VDX Internet Services B.V.,Stadionplein 23,8025 CP,Zwolle,01-04-1999,35000,120000,Geen opgave,29.0,86,1,5.8,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Streaming media, Virtual Private Server, SSL-Certificaat, Online backup, E-mail hosting."
Byte,Watertorenplein 4A,1051PA,Amsterdam,01-05-1999,25000,42000,1550,40.0,96,1,8.0,"Domeinnaam, Webhosting, Webhosting reselling, Streaming media, Dedicated server, Virtual Private Server, SSL-Certificaat, Online backup, Managed server, E-mail hosting."
Aleto Internet,Bevrijdingsweg 100,5915 PL,Venlo,20-03-1998,Geen opgave,12000,70,9.0,54,1,1.8,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Streaming media, Colocatie, Dedicated server, SSL-Certificaat, Managed server."
Dutchwebhosting,Rucphensebaan 30a,4706 PJ,Roosendaal,01-03-1999,63625,220085,1450,10.0,92,1,2.0,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Streaming media, Colocatie, Dedicated server, Virtual Private Server, SSL-Certificaat, Online backup, Managed server, E-mail hosting."
Mijnwebsitehosting,Bronsweg 7,8211 AL,Lelystad,01-08-2009,15230,23080,6,8.0,96,1,1.6,"Domeinnaam, Webhosting, Webhosting reselling, Colocatie, Dedicated server, SSL-Certificaat, Online backup, Managed server."
DeziWeb B.V. - kwaliteithosting,Ketelskamp 10,7942 KG,Meppel,01-12-2011,11000,33500,400,10.0,66,1,2.0,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Streaming media, Colocatie, Dedicated server, Virtual Private Server, SSL-Certificaat, Online backup, Managed server, E-mail hosting."
Webstekker B.V.,Stadionplein 23,8025 CP,Zwolle,09-01-2000,23000,56000,780,9.0,36,1,1.8,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Streaming media, Virtual Private Server, SSL-Certificaat, Online backup, E-mail hosting."
InternetToday.nl,Theemsweg 73,3201 LT,Spijkenisse,28-05-2001,6500,100000,250,15.0,96,1,3.0,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Dedicated server, Virtual Private Server, SSL-Certificaat, Online backup, Managed server, E-mail hosting."
CloudVPS B.V.,Delftsestraat 5,3013 AB,Rotterdam,01-09-2006,Geen opgave,Geen opgave,Geen opgave,24.0,68,1,4.8,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Dedicated server, Virtual Private Server, SSL-Certificaat, Netwerk connectiviteit, Managed server."
Trafego IS BV,Ekelstraat 3,4726AN,Heerle NB,01-07-2006,7800,18000,1400,5.0,72,1,1.0,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Streaming media, Dedicated server, Virtual Private Server, Gameserver, SSL-Certificaat, Online backup, Managed server."
Topservers.nl,Fahrenheitstraat 41,6710 BH,Ede GLD,01-02-2005,7924,11214,32,6.0,100,1,1.2,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Colocatie, Dedicated server, Virtual Private Server, SSL-Certificaat, Online backup, Managed server, E-mail hosting."
XXL Webhosting B.V.,Tesselschadestraat 8D,8913 HB,Leeuwarden,21-08-2000,10000,35000,150,8.0,88,1,1.6,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Streaming media, Dedicated server, Virtual Private Server, SSL-Certificaat, Online backup, Managed server, E-mail hosting."
Vircon,De Zaale 11,5612 AJ,Eindhoven,01-01-2003,Geen opgave,Geen opgave,Geen opgave,6.0,92,1,1.2,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Streaming media, Dedicated server, Virtual Private Server, SSL-Certificaat, VoIP-telefonie, Online backup, Managed server."
Let's Go Online,Dam Bustersstraat 8,4651 SJ,Steenbergen,01-04-2004,Geen opgave,Geen opgave,Geen opgave,6.0,54,1,1.2,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Streaming media, SSL-Certificaat, Online backup."
USCN Internet Services B.V.,Wibenaheerd 413,9736 NG,Groningen,24-01-2011,400,900,24,5.0,90,1,1.0,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Streaming media, Colocatie, Dedicated server, Virtual Private Server, SSL-Certificaat, Netwerk connectiviteit, Managed server, E-mail hosting."
Directwebhosting,Westhavenweg 105B,1042 BB,Zaandam,10-06-2002,500,1500,35,5.0,70,1,1.0,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Colocatie, Dedicated server, Virtual Private Server, SSL-Certificaat, Netwerk connectiviteit, Online backup, Managed server."
Domeinwinkel,Postbus 3501,4800 DM,Breda,23-09-2003,15000,35000,30,10.0,82,1,2.0,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Streaming media, Colocatie, SSL-Certificaat, Online backup, Managed server, E-mail hosting."
Shock Media B.V.,Twentepoort Oost 18,7609 RG,Almelo,01-01-1999,5000,10000,1500,22.0,88,1,4.4,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Streaming media, Colocatie, Dedicated server, Virtual Private Server, SSL-Certificaat, Breedband internet, Netwerk connectiviteit, Online backup, Managed server, E-mail hosting."
Xuna Solutions,Koperweg 11-J,2401LH,Alphen aan den Rijn,07-06-2007,1250,8500,98,5.0,80,1,1.0,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Colocatie, Dedicated server, Virtual Private Server, SSL-Certificaat, Usenet toegang, Managed server, E-mail hosting."
Topservers,Keplerlaan 16,6716 BS,Ede GLD,19-02-2005,8250,16500,75,10.0,100,1,2.0,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Colocatie, Dedicated server, Virtual Private Server, SSL-Certificaat, Online backup, Managed server."
ServeIP,Dorpshof 7,3084LK,Rotterdam,17-08-2011,Geen opgave,Geen opgave,Geen opgave,10.0,94,1,2.0,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Colocatie, Dedicated server, Virtual Private Server."
Domeinbalie.nl,Koivistokade 56,1013 BB,Amsterdam,14-08-2002,Geen opgave,Geen opgave,Geen opgave,6.0,46,1,1.2,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Dedicated server, Virtual Private Server, SSL-Certificaat, Managed server."
VEVIDA,Rozenburglaan 3,9727 DL,Groningen,00-00-1997,33000,55000,Geen opgave,20.0,70,1,4.0,"Domeinnaam, Webhosting, Webhosting reselling, Dedicated server, SSL-Certificaat, Managed server."
Redbee,Noordermarkt 16,1015 MX,Amsterdam,01-01-2000,Geen opgave,Geen opgave,Geen opgave,9.0,98,1,1.8,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Streaming media, Colocatie, Dedicated server, Virtual Private Server, SSL-Certificaat, Netwerk connectiviteit, Online backup, Managed server."
XLhosted,Dopheide 2a,9202 PB,Drachten,30-01-2012,Geen opgave,Geen opgave,Geen opgave,12.0,88,1,2.4,"Domeinnaam, Webhosting, Webhosting reselling, Dedicated server, Virtual Private Server, SSL-Certificaat, Managed server, E-mail hosting."
Vertixo B.V.,Charlotte Brontestraat 251,1102 XD,Amsterdam Zuidoost,26-09-2007,Geen opgave,Geen opgave,Geen opgave,6.0,100,1,1.2,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Streaming media, Colocatie, Dedicated server, Virtual Private Server, Gameserver, SSL-Certificaat, Breedband internet, VoIP-telefonie, Netwerk connectiviteit, Online backup, Usenet toegang, Managed server, E-mail hosting."
OVH.NL,Hogehilweg 16,1101 CD,Amsterdam,17-11-2008,930000,3700000,220000,7.0,20,1,1.4,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Streaming media, Dedicated server, Virtual Private Server, Gameserver, SSL-Certificaat, Online backup, E-mail hosting."
Hensel Hosting,Ellermanstraat 15F,1099 BW,Amsterdam,01-01-2003,3000,5000,Geen opgave,5.0,100,1,1.0,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Dedicated server, Virtual Private Server, SSL-Certificaat, Online backup, Managed server, E-mail hosting."
i3D.net,Rivium 1e straat 1,2909LE,Capelle aan den IJssel,28-08-2002,30000,5000,8100,52.0,24,1,10.4,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Streaming media, Colocatie, Dedicated server, Virtual Private Server, Gameserver, SSL-Certificaat, Netwerk connectiviteit, Online backup, Managed server, E-mail hosting."
Easy IS / Bizway BV,Tjalk 20,2411 NZ,Bodegraven,01-01-2001,1500,15000,250,6.0,52,1,1.2,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Streaming media, Colocatie, Dedicated server, Virtual Private Server, Gameserver, SSL-Certificaat, VoIP-telefonie, Online backup, Managed server, E-mail hosting."
Abbatis,Vendelier 61,3905PD,Veenendaal,13-01-2012,Geen opgave,Geen opgave,Geen opgave,9.0,68,1,1.8,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Virtual Private Server, Gameserver, SSL-Certificaat, VoIP-telefonie, Netwerk connectiviteit, Online backup, Managed server, E-mail hosting."
AD Hosting B.V.,Storkstraat 9,2722NN,Zoetermeer,16-10-2000,7000,12000,150,7.0,90,1,1.4,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Dedicated server, Virtual Private Server, SSL-Certificaat, Netwerk connectiviteit, Managed server, E-mail hosting."
Netrouting,Boyleweg 2,3208 KA,Spijkenisse,23-03-2007,Geen opgave,Geen opgave,2000,9.0,100,1,1.8,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Streaming media, Colocatie, Dedicated server, Virtual Private Server, SSL-Certificaat, VoIP-telefonie, Netwerk connectiviteit, Online backup, Managed server, E-mail hosting."
w3Media B.V.,Lichtenauerlaan 120,3062 ME,Rotterdam,03-10-1999,500,3400,160,17.0,100,1,3.4,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Streaming media, Colocatie, Dedicated server, Virtual Private Server, Gameserver, SSL-Certificaat, VoIP-telefonie, Netwerk connectiviteit, Online backup, Managed server."
BlueYellow,Dokter van Deenweg 14,8025 BE,Zwolle,01-10-2001,Geen opgave,Geen opgave,Geen opgave,10.0,68,1,2.0,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Dedicated server, Virtual Private Server, SSL-Certificaat."
DataCT,Wolvenplein 13,3512 CK,Utrecht,09-09-1999,4212,5000,100,5.0,88,1,1.0,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Dedicated server, Virtual Private Server, SSL-Certificaat, Managed server, E-mail hosting."
Redbee / Thyatia.net,Noordermarkt 16,1015 MX,Amsterdam,27-05-2004,Geen opgave,Geen opgave,Geen opgave,8.0,-100,1,1.6,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Colocatie, Dedicated server, Virtual Private Server, Gameserver, SSL-Certificaat, Netwerk connectiviteit, Managed server."
Your-webhost,Niermansgang 125,7514 DN,Enschede,01-01-2004,Geen opgave,Geen opgave,Geen opgave,5.0,100,1,1.0,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Virtual Private Server, SSL-Certificaat."
Windhoos Servers,Goudenregenplantsoen 177,2982 TD,Ridderkerk,05-06-2015,80,500,15,8.0,100,1,1.6,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Streaming media, Colocatie, Dedicated server, Virtual Private Server, Gameserver, SSL-Certificaat, VoIP-telefonie, Online backup, Managed server."
Totaalnet Internet Works bv,Impact 75,6921 RE,Duiven,17-05-1997,42000,140000,Geen opgave,14.0,-12,1,2.8,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Colocatie, Dedicated server, Virtual Private Server, SSL-Certificaat, Netwerk connectiviteit, Online backup, Managed server, E-mail hosting."
WF-Webhosting,Stetse 2,1613 BV,Grootebroek,16-08-1996,343,675,36,40.0,100,1,8.0,"Domeinnaam, Webhosting, Webhosting reselling, Streaming media, Colocatie, Dedicated server, Gameserver, VoIP-telefonie, Online backup."
Netzozeker B.V.,Keulenstraat 14,7418 ET,Deventer,31-03-2000,Geen opgave,Geen opgave,Geen opgave,15.0,56,,3.0,"Domeinnaam, Webhosting, Virtual Private Server, SSL-Certificaat, Breedband internet, VoIP-telefonie, Online backup, Managed server, E-mail hosting."
Greenhost,Weesperstraat 3,1018DN,Amsterdam,01-01-2001,6200,13000,30,12.0,100,,2.4,"Domeinnaam, Webhosting, Streaming media, Virtual Private Server, SSL-Certificaat, Netwerk connectiviteit, Online backup, Managed server, E-mail hosting."
Prioserve Internetdiensten,Smirnoffweg 36,3088HE,Rotterdam,01-09-1999,5000,25000,100,6.0,100,1,1.2,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Streaming media, Colocatie, Dedicated server, Virtual Private Server, Gameserver, SSL-Certificaat, Breedband internet, Netwerk connectiviteit, Online backup, Managed server, E-mail hosting."
QUPRA Hosting en Clouddiensten,Professor Verbernelaan 35,5037AD,Tilburg,31-08-2006,70,200,12,8.0,100,1,1.6,"Domeinnaam, Webhosting, Webhosting reselling, Virtual Private Server, Netwerk connectiviteit, Online backup, Managed server, E-mail hosting."
One.com,Strawinskylaan 3051,1077 ZX,Amsterdam,01-01-2002,950000,Geen opgave,Geen opgave,150.0,30,,30.0,"Domeinnaam, Webhosting, Online backup."
HostingXS,Kerkenbos 1063 G,6546 BB,Nijmegen,07-03-2000,Geen opgave,Geen opgave,Geen opgave,9.0,100,1,1.8,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Colocatie, Dedicated server, Virtual Private Server, SSL-Certificaat, Managed server, E-mail hosting."
Mangelot Hosting,Rietven 23,7534 NH,Enschede,18-05-2004,Geen opgave,Geen opgave,Geen opgave,80.0,100,1,16.0,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Colocatie, Dedicated server, Virtual Private Server, SSL-Certificaat, Netwerk connectiviteit, Online backup, Managed server, E-mail hosting."
